,oil_production
1994-03-01,68280
1994-06-01,68163
1994-09-01,68358
1994-12-01,69733
1995-03-01,69818
1995-06-01,69975
1995-09-01,70564
1995-12-01,70848
1996-03-01,71514
1996-06-01,71590
1996-09-01,71806
1996-12-01,73026
1997-03-01,73771
1997-06-01,73701
1997-09-01,74205
1997-12-01,75187
1998-03-01,76693
1998-06-01,76075
1998-09-01,74742
1998-12-01,75239
1999-03-01,75809
1999-06-01,73815
1999-09-01,74660
1999-12-01,75080
2000-03-01,76086.5042468
2000-06-01,77217.0883886
2000-09-01,78443.7149255
2000-12-01,79145.7961861
2001-03-01,78504.5113394
2001-06-01,76989.357481
2001-09-01,77680.337249
2001-12-01,77529.2567537
2002-03-01,76707.1453976
2002-06-01,76456.4414522
2002-09-01,76963.1541367
2002-12-01,78272.2902196
2003-03-01,78873.9852943
2003-06-01,78397.8488214
2003-09-01,79367.491491
2003-12-01,81824.6194841
2004-03-01,82681.4449183
2004-06-01,82763.0393775
2004-09-01,83822.8291026
2004-12-01,84517.1643072
2005-03-01,84872.5853294
2005-06-01,85582.2557012
2005-09-01,84956.1867137
2005-12-01,84990.0962483
2006-03-01,84902.574591
2006-06-01,84832.4452787
2006-09-01,85799.1540726
2006-12-01,85206.0303294
2007-03-01,84762.3108838
2007-06-01,84959.6968054
2007-09-01,85052.6518911
2007-12-01,86116.6245205
2008-03-01,86559.9276331
2008-06-01,86744.3522706
2008-09-01,86797.2613024
2008-12-01,86393.8965258
2009-03-01,84688.7653513
2009-06-01,85336.6164424
2009-09-01,86322.1647865
2009-12-01,86898.728551
2010-03-01,87128.1994008
2010-06-01,88084.7663899
2010-09-01,88774.8933601
2010-12-01,88941.3123526
2011-03-01,88601.5493919
2011-06-01,87805.8325613
2011-09-01,88889.8253138
2011-12-01,89801.2118579
2012-03-01,90760.7945249
2012-06-01,90634.8095632
2012-09-01,90626.0660873
2012-12-01,91105.496659
2013-03-01,90126.2161531
2013-06-01,91210.6714122
2013-09-01,91858.3695001
2013-12-01,91920.7985571
2014-03-01,92255.0156345
2014-06-01,92945.2738619
2014-09-01,94186.3346516
2014-12-01,95792.4314162
2015-03-01,95452.6110956
2015-06-01,96465.4993967
2015-09-01,97399.610763
2015-12-01,97583.764923
2016-03-01,97008.4614745
2016-06-01,96431.6880584
2016-09-01,97035.1592573
2016-12-01,98316.8468739
2017-03-01,97093.4815771
2017-06-01,97666.6869495
2017-09-01,98339.2900312
