Forno Rosso,11201,Downtown Brooklyn,NY,327 Gold St_Downtown Brooklyn_ NY 11201_,(718) 451-3800,italian;pizza;cocktailbars;,forno-rosso-downtown-brooklyn-2,False,$$,4.0,416

Pollo D' Oro,11201,Downtown Brooklyn,NY,306 Gold St_Downtown Brooklyn_ NY 11201_,(718) 855-8088,peruvian;latin;seafood;,pollo-d-oro-downtown-brooklyn-2,False,$$,4.0,164

SaltBrick Tavern,11201,Brooklyn,NY,156 Tillary St_Brooklyn_ NY 11201_,(347) 417-9112,steak;cocktailbars;,saltbrick-tavern-brooklyn-2,False,$$$,4.0,28

Due West,10014,New York,NY,189 West 10th St_New York_ NY 10014_,(646) 687-4609,cocktailbars;gastropubs;,due-west-new-york,False,$$$,4.5,15

Upstate,10003,New York,NY,95 1st Ave_New York_ NY 10003_,(646) 791-5400,seafood;wine_bars;beerbar;,upstate-new-york-2,False,$$,4.5,1490

Thai Villa,10003,New York,NY,5 E 19th St_G Floor_New York_ NY 10003_,(212) 802-9999,thai;asianfusion;vegetarian;,thai-villa-new-york-2,False,$$,4.5,1179

Upstate,10003,New York,NY,95 1st Ave_New York_ NY 10003_,(646) 791-5400,seafood;wine_bars;beerbar;,upstate-new-york-2,False,$$,4.5,1490

Thursday Kitchen,10009,New York,NY,424 E 9th St_New York_ NY 10009_,,korean;newamerican;tapasmallplates;,thursday-kitchen-new-york,False,$$,4.5,755

Ippudo East Village,10003,New York,NY,65 4th Ave_New York_ NY 10003_,,ramen;,ippudo-east-village-new-york,False,$$,4.0,9168

Pollo D' Oro,11201,Downtown Brooklyn,NY,306 Gold St_Downtown Brooklyn_ NY 11201_,(718) 855-8088,peruvian;latin;seafood;,pollo-d-oro-downtown-brooklyn-2,False,$$,4.0,164

Domo Taco,11201,Brooklyn,NY,66 Willoughby St_Brooklyn_ NY 11201_,(718) 797-0528,asianfusion;newmexican;panasian;,domo-taco-brooklyn-4,False,$,4.0,87

SaltBrick Tavern,11201,Brooklyn,NY,156 Tillary St_Brooklyn_ NY 11201_,(347) 417-9112,steak;cocktailbars;,saltbrick-tavern-brooklyn-2,False,$$$,4.0,28

Upstate,10003,New York,NY,95 1st Ave_New York_ NY 10003_,(646) 791-5400,seafood;wine_bars;beerbar;,upstate-new-york-2,False,$$,4.5,1491

Thursday Kitchen,10009,New York,NY,424 E 9th St_New York_ NY 10009_,,korean;newamerican;tapasmallplates;,thursday-kitchen-new-york,False,$$,4.5,757

Thai Villa,10003,New York,NY,5 E 19th St_G Floor_New York_ NY 10003_,(212) 802-9999,thai;asianfusion;vegetarian;,thai-villa-new-york-2,False,$$,4.5,1188

Burger & Lobster,10011,New York,NY,39 W 19th St_New York_ NY 10011_,(646) 833-7532,seafood;burgers;,burger-and-lobster-new-york,False,$$,4.0,4076

foreign_name,10011,New York,NY,22 W 8th St_New York_ NY 10011_,(212) 533-2962,french;wine_bars;,error id,False,$$,4.5,1900

